protein1 protein2 combined_score
ABCB6 TSG101 389
ABCB6 IRAK2 301
ABCB6 BIRC3 238
ABCB6 FECH 401
ABCB6 GNAI2 190
ABCB6 ABCG8 903
ABCB6 ATP2A2 720
ABCB6 ABCC3 195
ABCB6 TAP1 195
ABCB6 ABCC1 195
ABCB6 BIRC2 238
ABCB6 ATP1B3 720
ABCB6 ABCC8 613
ABCB6 ABCC4 195
ABCB6 ABCB9 195
ABCB6 TOMM40 271
ABCB6 ABCC5 195
ABCB6 ATP1A1 720
ABCB6 ATP1A3 720
ABCB6 IRAK4 167
ABCB6 ABCC2 195
ABCB6 ABCB8 764
ABCB6 FXYD1 720
ABCB7 CFTR 203
ABCB7 UQCRC1 271
ABCB7 ATP6V1D 271
ABCB7 CKM 272
ABCB7 TSG101 173
ABCB7 RAB2A 272
ABCB7 NDUFB6 271
ABCB7 ABCC3 195
ABCB7 TAP1 242
ABCB7 FECH 936
ABCB7 LONP1 158
ABCB7 RNF4 270
ABCB7 CKB 272
ABCB7 CYB5R3 179
ABCB7 ABCC1 195
ABCB7 ACAT1 272
ABCB7 NDUFA4 275
ABCB7 ABCC4 195
ABCB7 ABCC8 195
ABCB7 ABCB9 332
ABCB7 RPN1 272
ABCB7 SUCLA2 268
ABCB7 ABCC5 195
ABCB7 ABCC2 195
ABCB7 ABCB8 721
ABCB8 PROCR 271
ABCB8 KCNJ8 591
ABCB8 KCNJ2 153
ABCB8 ABCG8 727
ABCB8 ATP1B3 720
ABCB8 ATP2A2 726
ABCB8 ECI2 161
ABCB8 ATP1A3 726
ABCB8 RNF4 270
ABCB8 FECH 258
ABCB8 ABCC8 540
ABCB8 DBI 161
ABCB8 LPAR6 197
ABCB8 FXYD1 720
ABCB8 ATP1A1 726
ABCB9 KCNJ2 153
ABCB9 TAP1 271
ABCB9 ECI2 161
ABCB9 FECH 258
ABCB9 DBI 161
ABCC1 PDHX 271
ABCC1 NR3C1 201
ABCC1 ABCG2 210
ABCC1 KCNJ8 279
ABCC1 CANX 272
ABCC1 CREBBP 173
ABCC1 CSNK2A2 328
ABCC1 VDAC1 272
ABCC1 NPC1 284
ABCC1 FASN 272
ABCC1 ATP2B4 151
ABCC1 ATP6V1H 271
ABCC1 ABCC2 368
ABCC1 SURF1 271
ABCC1 VDAC2 272
ABCC1 NFS1 272
ABCC1 PTGES3 286
ABCC1 HRAS 293
ABCC2 TOMM22 271
ABCC2 ABCG2 210
ABCC2 KCNJ8 209
ABCC2 SSR1 271
ABCC2 CREBBP 173
ABCC2 TCIRG1 283
ABCC2 NDUFA9 271
ABCC2 NPC1 181
ABCC2 ABCC3 211
ABCC2 HSPA4 281
ABCC2 ATP2B4 152
ABCC2 PDZK1 805
ABCC2 PTRH2 271
ABCC2 JUP 282
ABCC2 CLTC 270
ABCC2 RAB31 271
ABCC2 PICALM 271
ABCC2 OXA1L 271
ABCC2 SLC30A5 655
ABCC3 ABCG2 210
ABCC3 KCNJ8 418
ABCC3 CANX 272
ABCC3 CREBBP 173
ABCC3 VDAC1 272
ABCC3 NPC1 245
ABCC3 EEF2 272
ABCC3 NAB2 243
ABCC3 HRAS 194
ABCC3 NUP93 435
ABCC3 VDAC2 272
ABCC3 ATP2B4 150
ABCC3 NXF1 340
ABCC4 CFTR 691
ABCC4 ABCD1 191
ABCC4 KCNJ8 182
ABCC4 KCNJ2 179
ABCC4 LGALS3 471
ABCC4 CREBBP 153
ABCC4 ALDH1A1 171
ABCC4 ABCD2 191
ABCC4 HAX1 284
ABCC4 ATP2B4 152
ABCC4 MPP1 412
ABCC4 MGST1 248
ABCC4 PDZK1 551
ABCC5 ABCD1 159
ABCC5 KCNJ8 193
ABCC5 CREBBP 153
ABCC5 ABCD2 159
ABCC5 SLC2A1 226
ABCC5 CLDN14 468
ABCC5 ATP2B4 188
ABCC5 TPM3 214
ABCC8 ABCG2 210
ABCC8 KCNJ8 968
ABCC8 KCNJ2 170
ABCC8 DNAJB1 260
ABCC8 CREBBP 173
ABCC8 NPC1 181
ABCC8 ABCG8 551
ABCC8 TJP1 169
ABCC8 ATP1B3 540
ABCC8 ALB 213
ABCC8 FXYD1 540
ABCC8 ATP1A1 550
ABCC8 ATP1A3 550
ABCC8 ATP2A2 556
ABCC8 RAPGEF3 306
ABCC8 ATP2B4 150
ABCC8 SNCA 161
ABCD1 ACSL5 335
ABCD1 ACSL3 202
ABCD1 ACSL4 202
ABCD1 ABCD2 958
ABCD1 ACSL1 335
ABCD1 VAPA 198
ABCD1 SLC27A2 555
ABCD1 BSG 232
ABCD1 ANLN 270
ABCD1 KIF23 270
ABCD1 ABCD3 955
ABCD1 SNCA 163
ABCD1 ECT2 270
ABCD1 RNF4 270
ABCD2 ACSL4 202
ABCD2 ACSL3 202
ABCD2 ACSL5 335
ABCD2 ACSL1 335
ABCD2 SNCA 175
ABCD2 ABCD3 876
ABCD3 CDC34 282
ABCD3 TOMM22 159
ABCD3 KIF23 270
ABCD3 GNAO1 270
ABCD3 EED 181
ABCD3 NNT 271
ABCD3 ANLN 270
ABCD3 NDUFS4 271
ABCD3 FASN 275
ABCD3 EEF2 272
ABCD3 RNF123 270
ABCD3 NDUFA4 275
ABCD3 ACSL4 202
ABCD3 TAP1 343
ABCD3 ACSL5 233
ABCD3 PEX14 298
ABCD3 ACSL3 202
ABCD3 PSMD14 270
ABCD3 CIT 270
ABCD3 ATP6V1C1 271
ABCD3 ACSL1 233
ABCD3 RAD51 234
ABCD3 TOMM40 271
ABCD3 SURF1 271
ABCD3 PTPN1 298
ABCD3 ECT2 296
ABCD3 RNF4 270
ABCD3 DYRK1A 288
ABCG2 SLC22A12 178
ABCG2 EGFR 272
ABCG2 KIF23 270
ABCG2 PDZK1 287
ABCG2 GPX3 279
ABCG2 IGF2 246
ABCG2 SERPINB6 167
ABCG2 PCDH7 489
ABCG2 EZR 278
ABCG2 CES1 203
ABCG2 ECT2 270
ABCG2 PPIA 222
ABCG2 PTEN 163
ABCG2 CFL1 278
ABCG2 ALB 430
ABCG2 MSN 197
ABCG2 ANLN 270
ABCG2 ANXA5 164
ABCG2 CD44 319
ABCG2 CTNNB1 201
ABCG2 ANXA13 278
ABCG2 CIT 282
ABCG2 ANXA4 278
ABCG4 ANXA13 212
ABCG4 GALNT1 171
ABCG4 CES1 151
ABCG4 TMEM50A 256
ABCG4 ANXA4 212
ABCG4 PPIA 159
ABCG4 NEDD4 270
ABCG4 CFL1 171
ABCG8 KCNJ8 540
ABCG8 ANXA13 212
ABCG8 NOTCH3 478
ABCG8 ATP1B3 720
ABCG8 ATP2A2 725
ABCG8 ATP1A3 725
ABCG8 CES1 151
ABCG8 PTPRD 231
ABCG8 PPIA 159
ABCG8 FXYD1 720
ABCG8 ATP1A1 725
ABCG8 CFL1 171
ABCG8 ANXA4 212
ABHD2 MYO1E 158
ABHD4 LIPE 315
ABHD4 KDM6B 198
ABHD4 PLIN2 295
ABHD4 AIFM1 173
ABHD4 VDAC2 161
ABHD4 CSNK2B 182
ABHD4 REEP5 245
ABHD4 ECI2 150
ABHD4 AIFM3 173
ABHD4 NDUFAB1 248
ABHD6 PVALB 269
ABHD6 FIS1 242
ABHD6 KDM6B 198
ABHD6 GRID2 360
ABHD6 AIFM1 173
ABHD6 NCS1 189
ABHD6 ECI2 150
ABHD6 PTK2B 360
ABHD6 AIFM3 173
ABHD6 DLG4 512
ABHD6 CKMT2 156
ABHD6 RNF4 270
ABHD6 NDUFAB1 248
ABI1 RIPK2 193
ABI1 ARPC3 651
ABI1 NCK2 607
ABI1 ATXN1 181
ABI1 VASP 658
ABI1 RAC2 390
ABI1 PTPRE 150
ABI1 PIK3R3 184
ABI1 CBL 454
ABI1 CBLB 182
ABI1 CDK6 187
ABI1 ERBB3 154
ABI1 TP53 401
ABI1 ERBB2 154
ABI1 EGFR 229
ABI1 VCAM1 900
ABI1 ARPC2 600
ABI1 RPN1 256
ABI1 IRS1 235
ABI1 RBM14 275
ABI1 PTPN2 165
ABI1 BAIAP2 914
ABI1 TRIP10 516
ABI1 LCK 197
ABI1 KPTN 206
ABI1 NFASC 422
ABI1 FYN 394
ABI1 SORBS2 184
ABI1 RAC1 685
ABI1 EPHA2 188
ABI1 SPTA1 297
ABI1 ARHGAP4 188
ABI1 SORBS1 174
ABI1 PTPN1 165
ABI1 ABL1 973
ABI1 SF3A3 272
ABI1 SRC 197
ABI1 FGR 209
ABI1 TGFBR1 179
ABI1 ARHGEF7 363
ABI1 HRAS 199
ABI1 CLTC 265
ABI1 ACTR2 651
ABI1 CTTN 316
ABI1 SFRP4 276
ABI1 APBB1 165
ABI1 WAS 897
ABI1 GRB2 636
ABI1 EPS8L2 543
ABI1 NIN 270
ABI1 NCK1 804
ABI1 ITSN1 191
ABI1 CYFIP1 977
ABI1 ITGB1 911
ABI1 WASF1 992
ABI1 WASF2 998
ABI1 EVL 344
ABI1 PTPRD 158
ABI1 BCAR1 288
ABI1 JAK2 193
ABI1 SOS1 995
ABI1 DIAPH3 400
ABI1 LYN 186
ABI1 CPEB3 158
ABI1 TIMM50 209
ABI1 FRK 197
ABI1 CYFIP2 996
ABI1 ITK 182
ABI1 CPEB2 158
ABI1 NAV2 570
ABI1 ITGA4 930
ABI1 WIPF1 627
ABI1 AKT1 597
ABI3BP GRK5 270
ABI3BP ITGB1 297
ABI3BP ABL1 204
ABL1 MAP2K5 174
ABL1 SIRT1 271
ABL1 MAPK12 622
ABL1 MAPK1 640
ABL1 GSTZ1 163
ABL1 NFKBIA 301
ABL1 MEFV 223
ABL1 AMH 167
ABL1 TGFB1 240
ABL1 MAPK14 635
ABL1 CAP2 657
ABL1 MLH1 493
ABL1 NCK2 366
ABL1 PROC 216
ABL1 TGFB3 169
ABL1 SORBS3 336
ABL1 KALRN 179
ABL1 CAT 270
ABL1 VASP 487
ABL1 RAC2 322
ABL1 RARA 258
ABL1 PTPRE 247
ABL1 ADAM10 270
ABL1 TOPBP1 270
ABL1 PDGFRB 331
ABL1 LTBP2 162
ABL1 AXIN1 227
ABL1 GNAO1 170
ABL1 CSNK2A2 276
ABL1 RAB2A 166
ABL1 NOTCH3 203
ABL1 CLASP1 600
ABL1 AKT3 190
ABL1 CBL 796
ABL1 CBLB 316
ABL1 YWHAE 529
ABL1 TP63 189
ABL1 ZAP70 352
ABL1 NRP1 698
ABL1 SLIT1 904
ABL1 ERBB3 428
ABL1 RB1 946
ABL1 RHOF 161
ABL1 PXN 649
ABL1 CDH2 606
ABL1 TP53 927
ABL1 ERBB2 603
ABL1 SKP2 262
ABL1 RASA1 478
ABL1 EGFR 611
ABL1 PPP4C 329
ABL1 PPM1B 728
ABL1 BMP6 185
ABL1 APP 415
ABL1 VBP1 200
ABL1 PPARG 181
ABL1 KIT 284
ABL1 CDH15 606
ABL1 NCSTN 225
ABL1 GEM 185
ABL1 MELK 189
ABL1 HSP90B1 477
ABL1 BCL2L1 270
ABL1 HSPA4 728
ABL1 BCR 795
ABL1 CTNNA1 600
ABL1 YWHAG 647
ABL1 PPM1D 258
ABL1 SHE 192
ABL1 RHOD 161
ABL1 PTPN2 175
ABL1 GNAI2 170
ABL1 PABPC1 222
ABL1 DAB2 373
ABL1 PRKDC 672
ABL1 NUP98 312
ABL1 BIN1 452
ABL1 PKM 281
ABL1 FLNC 152
ABL1 PPM1A 177
ABL1 EFNA5 187
ABL1 CASP9 588
ABL1 MAPK11 622
ABL1 BMP2K 157
ABL1 HSP90AA1 825
ABL1 LCK 179
ABL1 SNCA 441
ABL1 UGP2 153
ABL1 YTHDC1 270
ABL1 TRIO 179
ABL1 RHOG 161
ABL1 HUWE1 298
ABL1 MAPT 500
ABL1 PTPN11 638
ABL1 ARHGEF3 199
ABL1 PTK2 182
ABL1 STAT5A 297
ABL1 PPM1G 177
ABL1 GNAI1 170
ABL1 PARD6G 263
ABL1 JAK1 780
ABL1 ATF3 261
ABL1 CTNNB1 921
ABL1 MEF2A 290
ABL1 FYN 186
ABL1 FN1 367
ABL1 AK2 203
ABL1 NET1 199
ABL1 SORBS2 599
ABL1 RAC1 244
ABL1 SPRED2 222
ABL1 ADAM15 270
ABL1 EPHB4 180
ABL1 GAD1 151
ABL1 RHOT1 184
ABL1 RAD52 223
ABL1 XRCC6 410
ABL1 MYLK 271
ABL1 TOP1 343
ABL1 MTOR 274
ABL1 TGFB2 169
ABL1 MAPKAPK2 456
ABL1 UAP1 153
ABL1 SPTA1 270
ABL1 ROS1 213
ABL1 FLNA 152
ABL1 GNAI3 170
ABL1 SORBS1 806
ABL1 PTPN1 934
ABL1 PTEN 157
ABL1 NCOA3 270
ABL1 RHOA 247
ABL1 ERN1 252
ABL1 AKT1 190
ABL1 NFAT5 242
ABL1 MAP4K1 438
ABL1 PTPRD 441
ABL1 CDON 775
ABL1 PAK4 717
ABL1 PDK1 153
ABL1 PTGES3 270
ABL1 LATS2 513
ABL1 BAG1 273
ABL1 APBB1 546
ABL1 CYFIP2 392
ABL1 SQSTM1 423
ABL1 PDP1 177
ABL1 MAPKAPK3 209
ABL1 FGR 276
ABL1 ITGB3 223
ABL1 PTPN6 556
ABL1 EPHB2 309
ABL1 HDAC1 900
ABL1 CISH 356
ABL1 NPHS1 286
ABL1 MBP 281
ABL1 LYN 229
ABL1 PCNA 270
ABL1 SLIT2 617
ABL1 SRC 576
ABL1 MSH5 800
ABL1 AP2B1 161
ABL1 ITGB1 264
ABL1 PTK2B 340
ABL1 RHOBTB3 161
ABL1 ITGB2 345
ABL1 RAD51 927
ABL1 HSPA2 153
ABL1 NEDD9 658
ABL1 FGFR1 289
ABL1 CDH4 606
ABL1 BAZ2A 165
ABL1 MUC1 600
ABL1 PDK2 153
ABL1 AKT2 190
ABL1 BRCA1 591
ABL1 HSPA1L 199
ABL1 SOS1 363
ABL1 MAP3K1 297
ABL1 WASF1 760
ABL1 CYFIP1 392
ABL1 RHOH 161
ABL1 DCC 402
ABL1 ITSN1 298
ABL1 HIPK2 499
ABL1 WAS 193
ABL1 PRKCD 876
ABL1 GTF2F1 297
ABL1 PTPRG 360
ABL1 BCAR1 801
ABL1 EVL 408
ABL1 TFDP1 900
ABL1 WASF2 206
ABL1 CAP1 657
ABL1 DNM1L 154
ABL1 HSPA1A 253
ABL1 YWHAB 529
ABL1 SHC1 872
ABL1 NCK1 846
ABL1 PDK3 153
ABL1 GRB2 995
ABL1 WWTR1 266
ABLIM1 RAC2 252
ABLIM1 PDLIM4 171
ABLIM1 EED 181
ABLIM1 ANLN 477
ABLIM1 CDK2 181
ABLIM1 PXN 171
ABLIM1 FLNA 291
ABLIM1 FYN 600
ABLIM1 ACTC1 156
ABLIM1 RAC1 661
ABLIM1 PTK2 600
ABLIM1 PDLIM7 285
ABLIM1 SRC 600
