protein1 protein2 combined_score
BCL3 RXRA 282
BCL3 MAPK1 300
BCL3 CUL1 170
BCL3 FKBP1B 155
BCL3 HDAC1 820
BCL3 CHUK 301
BCL3 PSMD12 156
BCL3 CUL3 160
BCL3 RELA 936
BCL3 PSMC3 183
BCL3 TPX2 198
BCL3 SRC 224
BCL3 CTBP1 603
BCL3 RELB 822
BCL3 IL4R 206
BCL3 LCK 301
BCL3 FRK 224
BCL3 RAB31 165
BCL3 ESR1 282
BCL3 CD40 303
BCL3 HSPA9 163
BCL3 PSMD13 150
BCL3 STAT3 435
BCL3 RUVBL2 511
BCL3 CTNNB1 281
BCL3 PSMC6 183
BCL3 MYO9B 152
BCL3 RAB5A 165
BCL3 CUL5 160
BCL3 PSMD1 183
BCL3 HDAC6 317
BCL3 GSK3B 421
BCR CFTR 221
BCR TNFRSF1A 200
BCR PLEK 175
BCR RAC2 173
BCR COPB1 180
BCR TSG101 449
BCR SP110 153
BCR CSNK2A2 433
BCR PIK3CA 600
BCR CBL 483
BCR RB1 270
BCR RHOF 173
BCR PXN 270
BCR TP53 381
BCR PAK1 200
BCR ERCC3 564
BCR KIT 653
BCR PLK1 153
BCR HSPA4 270
BCR PTPN1 281
BCR YWHAB 242
BCR MUC1 276
BCR CD2AP 175
BCR RHOH 173
BCR GAB2 695
BCR SYK 900
BCR SHC1 476
BCR HSP90AA1 483
BCR RHOD 173
BCR RAC1 371
BCR RHOA 371
BCR PAK4 200
BCR CNTRL 499
BCR PSEN1 282
BCR PDZK1 646
BCR PAK3 200
BCR PIK3CG 653
BCR FCGR2B 900
BCR GRK5 270
BCR GRB2 937
BCR RHOG 173
BCR PTPRM 152
BCR YWHAG 242
BCR LYN 900
BCR SOS1 483
BCR PTPN6 946
BCR UBQLN1 181
BCR CLTC 161
BCR RHOBTB3 173
BCR PTGES3 270
BCR RAD51 422
BDNF CX3CL1 221
BDNF FGF22 152
BDNF HMOX1 179
BDNF TGFB1 207
BDNF FGF6 152
BDNF LRP1 270
BDNF TYRO3 284
BDNF PIK3CA 600
BDNF WNT2 151
BDNF ITIH4 252
BDNF ERBB2 294
BDNF SLC6A3 229
BDNF FGF18 152
BDNF CAMK4 203
BDNF TIAM1 600
BDNF IGF1 536
BDNF PLG 292
BDNF P2RY2 272
BDNF LEP 171
BDNF FGF13 252
BDNF TRAK2 177
BDNF LEPR 242
BDNF PTPN11 600
BDNF CTNNB1 359
BDNF FYN 606
BDNF GFRA1 518
BDNF NTRK3 885
BDNF COMT 207
BDNF MTOR 226
BDNF NGF 900
BDNF CTTN 256
BDNF FGF9 152
BDNF GRB2 653
BDNF DLG4 424
BDNF SOS1 600
BDNF NTF3 994
BDNF SHC1 600
BDNF LTA 250
BDNF ESR1 220
BDNF EPHX1 336
BDNF VEGFA 194
BDNF SLC2A1 532
BDNF NCAM1 305
BEST1 CFTR 540
BEST1 CLCN2 540
BEST1 CLIC2 540
BEST1 GABRA3 540
BEST1 NEDD4L 282
BGN DCN 252
BGN SF3A1 181
BGN MYBL2 163
BGN SGCG 548
BGN PPP2CB 164
BGN TGFB1 908
BGN PCOLCE 234
BGN TGFB3 600
BGN SNRPA 183
BGN LSM7 169
BGN PTPRE 177
BGN CAB39 227
BGN TLR2 992
BGN MRPL3 165
BGN NRXN2 177
BGN RPL3L 165
BGN SNRPG 214
BGN PPP4C 164
BGN LY96 902
BGN BMP1 173
BGN SF3B3 213
BGN EEF2 167
BGN PRPF3 161
BGN LSM2 152
BGN MSRB1 151
BGN CD44 556
BGN CDC5L 163
BGN MYB 163
BGN DMD 325
BGN TGM2 217
BGN ELN 805
BGN NTNG1 197
BGN PTPRM 177
BGN MBL2 261
BGN BMPR1B 288
BGN NAA38 152
BGN PTPRC 177
BGN TLR1 902
BGN PTPRD 177
BGN MYBL1 163
BGN P2RX4 498
BGN VEGFA 327
BGN PPT1 156
BGN FXN 167
BGN TGFB2 600
BGN COL9A1 614
BGN P2RX7 463
BGN SF3A3 201
BGN CAB39L 227
BGN LSM4 167
BGN LY86 200
BID TNFRSF1A 286
BID NOD1 278
BID RPA1 270
BID CASP10 554
BID CAPN2 397
BID NOD2 398
BID CASP2 488
BID MAPK9 244
BID CASP8 743
BID SQSTM1 270
BID YWHAB 333
BID MSN 448
BID RPA2 270
BID RHOA 676
BID EZR 456
BID MAPK8 286
BID NF2 165
BIN1 ITGA3 192
BIN1 MYH9 152
BIN1 MYH1 152
BIN1 MFN2 200
BIN1 CLTA 191
BIN1 MYH2 152
BIN1 RAC2 392
BIN1 RABGAP1L 314
BIN1 EXOC4 159
BIN1 MYH4 152
BIN1 MSR1 540
BIN1 SMURF2 227
BIN1 LCAT 540
BIN1 DGUOK 210
BIN1 RAB5A 272
BIN1 PLA2G7 540
BIN1 TIAM1 154
BIN1 MYO1E 321
BIN1 LPL 540
BIN1 CLU 838
BIN1 DNMBP 224
BIN1 NDUFS8 252
BIN1 OPHN1 218
BIN1 PTPN11 183
BIN1 RHOA 154
BIN1 PTK2 370
BIN1 FBP1 297
BIN1 SYNJ1 947
BIN1 HDLBP 540
BIN1 MYH3 152
BIN1 PREX1 228
BIN1 NEDD4 227
BIN1 SOS1 371
BIN1 ITGA6 192
BIN1 DNM1L 371
BIN1 XRCC5 270
BIN1 EHD1 486
BIN1 OPA1 199
BIN1 TBC1D30 229
BIN1 MYH8 152
BIN1 NEDD4L 227
BIN1 NUFIP1 232
BIN1 IDO1 256
BIN1 LSR 540
BIN1 SMURF1 227
BIN1 CAV3 489
BIN1 STMN1 157
BIN1 RAC1 392
BIN1 MYH10 195
BIN1 SH3GL2 251
BIN1 OCRL 193
BIN1 MAPT 848
BIN1 ITSN1 269
BIN1 SYNE1 298
BIN1 SNX9 152
BIN1 PICALM 918
BIN1 RABGAP1 314
BIN1 CAPN3 195
BIN1 SRPK1 169
BIN1 XRCC6 303
BIN1 SNAP91 268
BIN1 TRIP10 351
BIN1 CLTC 516
BIN1 VLDLR 540
BIN1 WWP1 227
BIN1 POR 150
BIN1 FHL2 192
BIN1 SYNJ2 946
BIN1 HDAC6 270
BIN1 MX2 199
BIN1 WWTR1 165
BIN1 DBI 540
BIN1 CLIP1 813
BIN1 WAS 733
BIN1 LDLR 540
BIN1 MYH11 152
BIN1 GRB2 226
BIRC2 TNFRSF1A 996
BIRC2 PLOD1 192
BIRC2 RIPK2 739
BIRC2 CD82 192
BIRC2 LTBR 699
BIRC2 RAF1 292
BIRC2 TSG101 309
BIRC2 IRAK2 281
BIRC2 RIPK1 993
BIRC2 IER3 270
BIRC2 NDC80 396
BIRC2 CSE1L 270
BIRC2 BIRC3 946
BIRC2 CBL 277
BIRC2 CPOX 311
BIRC2 MXD1 320
BIRC2 UBE2S 513
BIRC2 CASP6 213
BIRC2 EGFR 270
BIRC2 USP15 270
BIRC2 CASP10 481
BIRC2 UBE2L6 312
BIRC2 HSP90B1 525
BIRC2 NOD2 433
BIRC2 BIRC5 483
BIRC2 HSPA4 368
BIRC2 PCSK9 285
BIRC2 CASP2 612
BIRC2 TNIP1 192
BIRC2 GYS1 201
BIRC2 TNIP2 279
BIRC2 GSK3B 393
BIRC2 HCCS 197
BIRC2 TBK1 309
BIRC2 CASP9 833
BIRC2 HSP90AA1 181
BIRC2 RAC1 497
BIRC2 RBCK1 606
BIRC2 NF1 163
BIRC2 CASP8 632
BIRC2 XAF1 270
BIRC2 ILF2 449
BIRC2 KLHDC8A 153
BIRC2 PEA15 208
BIRC2 CASP7 839
BIRC2 MAP3K7 686
BIRC2 NFKB2 270
BIRC2 GLMN 474
BIRC2 CHUK 761
BIRC2 CD40LG 923
BIRC2 CD40 972
BIRC2 SRC 265
BIRC2 SRPK1 186
BIRC2 TRAF1 995
BIRC2 UBE2D1 904
BIRC2 TNFRSF1B 955
BIRC2 OPTN 192
BIRC2 PRDX4 339
BIRC2 SQSTM1 270
BIRC2 TANK 714
BIRC2 CASP5 248
BIRC2 INCENP 221
BIRC2 LIMA1 210
BIRC2 TNFSF11 600
BIRC2 MAP3K1 329
BIRC2 RELA 483
BIRC2 CASP4 248
BIRC2 IRAK4 188
BIRC2 CYLD 600
BIRC2 GSPT1 270
BIRC2 DIABLO 996
BIRC2 RHOA 464
BIRC2 UBE2L3 312
BIRC2 LTA 717
BIRC2 ILF3 270
BIRC2 LTB 603
BIRC2 EIF4E 297
BIRC2 WDR1 270
BIRC2 IKBKB 612
BIRC2 CASP1 534
BIRC2 PSMD9 161
BIRC2 IKBKG 867
BIRC3 TNFRSF1A 987
BIRC3 RIPK2 498
BIRC3 NFKB1 461
BIRC3 LTBR 743
BIRC3 RAF1 292
BIRC3 TSG101 181
BIRC3 IRAK2 281
BIRC3 RIPK1 988
BIRC3 IER3 270
BIRC3 NDC80 396
BIRC3 CD40 947
BIRC3 LTA 628
BIRC3 PRDX4 339
BIRC3 MADD 900
BIRC3 UBE2D1 829
BIRC3 CHUK 705
BIRC3 MGST1 211
BIRC3 NOD2 345
BIRC3 EGFR 270
BIRC3 CASP4 248
BIRC3 CASP6 217
BIRC3 CASP2 925
BIRC3 REL 270
BIRC3 HCCS 242
BIRC3 CASP9 770
BIRC3 CYLD 600
BIRC3 LTB 603
BIRC3 HSPA1L 297
BIRC3 IRAK4 188
BIRC3 CD40LG 923
BIRC3 INCENP 221
BIRC3 MAP3K7 658
BIRC3 PIDD1 900
BIRC3 GLMN 410
BIRC3 CPOX 311
BIRC3 PSMD9 161
BIRC3 IKBKG 868
BIRC3 IRF5 343
BIRC3 KLHDC8A 153
BIRC3 CASP1 493
BIRC3 WDR1 270
BIRC3 TANK 270
BIRC3 LIMA1 270
BIRC3 GSK3B 484
BIRC3 SRPK1 186
BIRC3 SIRT6 341
BIRC3 XAF1 270
BIRC3 TNFRSF1B 937
BIRC3 BIRC5 270
BIRC3 TRAF1 999
BIRC3 CASP8 703
BIRC3 PEA15 211
BIRC3 NF1 163
BIRC3 CASP5 248
BIRC3 HAX1 295
BIRC3 CASP7 736
BIRC3 PELI1 270
BIRC3 RBCK1 700
BIRC3 USP15 270
BIRC3 GYS1 201
BIRC3 MAP3K1 463
BIRC3 MXD1 211
BIRC3 DIABLO 984
BIRC3 TNFSF11 600
BIRC3 UBE2I 246
BIRC3 CASP10 481
BIRC3 IKBKB 783
BIRC3 UBE2E1 317
BIRC3 UBE2L3 312
BIRC3 RELA 483
BIRC5 LAMTOR5 504
BIRC5 CDK4 270
BIRC5 KIF23 270
BIRC5 NDC80 254
BIRC5 CPOX 226
BIRC5 CUL3 903
BIRC5 STAT3 270
BIRC5 CASP6 260
BIRC5 CDK2 270
BIRC5 RASA1 900
BIRC5 CASP10 208
BIRC5 F2RL1 270
BIRC5 DIABLO 588
BIRC5 CTNNB1 274
BIRC5 HSP90AA1 270
BIRC5 GYS1 290
BIRC5 CASP8 208
BIRC5 NF1 163
BIRC5 PEA15 211
BIRC5 CASP5 208
BIRC5 HDAC6 270
BIRC5 CASP7 610
BIRC5 XRCC6 270
BIRC5 SRPK1 276
BIRC5 GPX4 270
BIRC5 PSMD9 161
BIRC5 XPO1 446
BIRC5 KLHDC8A 153
BIRC5 CASP1 208
BIRC5 EVI5 940
BIRC5 INCENP 989
BIRC5 CASP4 208
BIRC5 CASP2 281
BIRC5 KLHL24 173
BIRC5 CASP9 708
BIRC5 PRDX4 160
BIRC5 PRKDC 270
BLCAP ESR1 271
BLVRA MAPK1 447
BLVRA HMOX1 642
BLVRA PDGFRB 202
BLVRA CPOX 192
BLVRA PRKCB 270
BLVRA UGT2B17 650
BLVRA THBS3 235
BLVRA PDK1 270
BLVRA GALK2 340
BLVRA HMOX2 301
BLVRA POR 203
BMF STAT3 270
BMF ERBB2 258
BMF HDAC1 270
BMF POLR2A 270
BMF MAPK8 270
BMP1 RANBP9 273
BMP1 DCN 277
BMP1 PCOLCE 780
BMP1 LOXL1 218
BMP1 TWSG1 322
BMP1 PCOLCE2 304
BMP1 NAB2 173
BMP1 COL3A1 509
BMP1 BMPR1A 260
BMP1 FN1 532
BMP1 KIF2C 189
BMP1 RANBP10 181
BMP1 RAD50 189
BMP1 KIF5A 183
BMP1 LAMB3 369
BMP1 OLFM1 215
BMP1 C1R 416
BMP1 LAMA3 302
BMP1 MASP2 416
BMP1 MBL2 551
BMP1 GPHN 151
BMP1 COL5A1 495
BMP1 C1QA 416
BMP1 COL4A1 151
BMP1 COL4A2 151
BMP2K RALBP1 755
BMP2K MYH9 150
BMP2K MFN2 181
BMP2K COPB1 165
BMP2K EED 181
BMP2K CDK2 500
BMP2K HSPA9 196
BMP2K MX2 253
BMP2K PICALM 735
BMP2K NUMB 698
BMP2K ITSN1 329
BMP2K MAPT 154
BMP2K CLTC 625
BMP2K SNAP91 171
BMP2K NCOR2 153
BMP2K CDKN2D 173
BMP2K RNF4 270
BMP2K DNM1L 253
BMP2K OPA1 181
BMP2K FLNA 183
BMP6 TGFB3 518
BMP6 RAF1 171
BMP6 IRAK2 159
BMP6 TWSG1 376
BMP6 WNT5A 217
BMP6 IGF1R 180
BMP6 BMPR2 977
BMP6 COL7A1 165
BMP6 COL5A2 165
BMP6 JAK2 180
BMP6 ROS1 202
BMP6 COL11A1 165
BMP6 TGFBR1 290
BMP6 COL4A1 213
BMP6 GSK3B 200
BMP6 COL4A2 213
BMP6 EPHB2 164
BMP6 BMPR1B 974
BMP6 COL5A1 165
BMP6 EPHB3 207
BMP6 COL3A1 165
BMP6 EPHB4 164
BMP6 EPHA5 164
BMP6 BMPR1A 990
BMP6 ITK 161
BMP6 FYN 159
BMP6 IRAK4 159
BMP6 SRC 159
BMP6 IGF1 208
BMP6 FRK 159
BMP6 MMP9 243
BMP6 JAK1 176
BMP6 COL2A1 165
BMPR1A MAP2K5 160
BMPR1A TGFB1 400
BMPR1A ITGB8 274
BMPR1A TGFB3 192
BMPR1A FST 963
BMPR1A TLR2 218
BMPR1A VWF 170
BMPR1A PDGFRB 188
BMPR1A FLT4 163
BMPR1A SMAD7 966
BMPR1A SMAD2 208
BMPR1A SMURF2 687
BMPR1A CSNK2A2 566
BMPR1A ITGA9 228
BMPR1A WNT2 172
BMPR1A LRIG1 273
BMPR1A USP15 488
BMPR1A PPM1B 177
BMPR1A IL17RB 183
BMPR1A SMAD6 954
BMPR1A MRAS 167
BMPR1A IFNGR2 159
BMPR1A REL 276
BMPR1A FSTL1 506
BMPR1A PPM1D 177
BMPR1A KIF5B 225
BMPR1A TSPAN5 199
BMPR1A GNAI2 191
BMPR1A PPM1A 177
BMPR1A LEPR 183
BMPR1A SMAD3 208
BMPR1A HSP90AA1 284
BMPR1A UGP2 153
BMPR1A PPM1G 177
BMPR1A PARD6G 236
BMPR1A CTNNB1 197
BMPR1A PTGER3 207
BMPR1A TGFBR2 311
BMPR1A TFRC 540
BMPR1A SMURF1 940
BMPR1A LEFTY2 185
BMPR1A TGFB2 235
BMPR1A UAP1 153
BMPR1A IGSF1 270
BMPR1A ITGB1 373
BMPR1A PSMD14 270
BMPR1A SMAD1 975
BMPR1A ITGB2 328
BMPR1A IL1R1 189
BMPR1A GREM1 900
BMPR1A PTK2B 156
BMPR1A PDCD1LG2 189
BMPR1A ITGA4 150
BMPR1A ITGB3 204
BMPR1A PDP1 220
BMPR1A LYN 176
BMPR1A FKBP1B 275
BMPR1A CD83 183
BMPR1A TSC22D1 270
BMPR1A SFRP4 154
BMPR1A PDK1 153
BMPR1A TGFBR1 662
BMPR1A SKIL 160
BMPR1A KIF5C 225
BMPR1A KIF5A 225
BMPR1A BMPR1B 992
BMPR1A PDK3 153
BMPR1A SMAD5 710
BMPR1A WWP1 159
BMPR1A NEDD4L 159
BMPR1A BMPR2 995
BMPR1A TF 540
BMPR1A ITSN1 156
BMPR1A CD44 152
BMPR1A HRAS 259
BMPR1A PDK2 153
BMPR1A CDK8 175
BMPR1A CD59 153
BMPR1A ENG 155
BMPR1A NEDD4 159
BMPR1B MAP2K5 160
BMPR1B TGFB1 267
BMPR1B TGFB3 173
BMPR1B LRP1 177
BMPR1B FST 900
BMPR1B FLT4 163
BMPR1B SMAD7 940
BMPR1B SMAD2 208
BMPR1B SMURF2 687
BMPR1B CSNK2A2 163
BMPR1B ITGA9 172
BMPR1B WNT2 170
BMPR1B ITGB7 155
BMPR1B LRIG1 448
BMPR1B USP15 270
BMPR1B PPM1B 177
BMPR1B SMAD6 968
BMPR1B MRAS 167
BMPR1B FSTL1 290
BMPR1B PPM1D 177
BMPR1B KIF5B 225
BMPR1B TSPAN5 199
BMPR1B EZH2 270
BMPR1B PPM1A 177
BMPR1B SMAD3 208
BMPR1B HSP90AA1 156
BMPR1B UGP2 153
BMPR1B PPM1G 177
BMPR1B PARD6G 236
BMPR1B TGFBR2 325
BMPR1B DNMT1 270
BMPR1B TFRC 540
BMPR1B SMURF1 955
BMPR1B LEFTY2 185
BMPR1B TGFB2 168
BMPR1B UAP1 153
BMPR1B IGSF1 270
BMPR1B BMPR2 995
BMPR1B TGFBR1 179
BMPR1B ITSN1 156
BMPR1B PDK1 153
BMPR1B ITGB1 296
BMPR1B PDP1 220
BMPR1B ITGA4 150
BMPR1B WNT5B 153
BMPR1B ITGB2 225
BMPR1B NEDD4L 159
BMPR1B TF 540
BMPR1B PDK3 153
BMPR1B KIF5C 225
BMPR1B TSC22D1 270
BMPR1B RHOA 150
BMPR1B ITGB3 204
BMPR1B GREM1 900
BMPR1B SMAD1 939
BMPR1B SMAD5 699
BMPR1B WWP1 159
BMPR1B KIF5A 225
BMPR1B NEDD4 159
BMPR1B PDK2 153
BMPR1B HRAS 184
BMPR2 MAP2K5 160
BMPR2 TRIB3 334
BMPR2 TGFB1 222
BMPR2 WNT16 172
BMPR2 PLEK 224
BMPR2 TGFB3 209
BMPR2 RNF11 220
BMPR2 LRP1 152
BMPR2 FST 963
BMPR2 FLT4 608
BMPR2 SMAD7 931
BMPR2 SMURF2 615
BMPR2 PIK3R3 318
BMPR2 PIK3CA 245
BMPR2 WNT2 172
BMPR2 PRKAR2A 215
BMPR2 RHOF 166
BMPR2 PPM1B 177
BMPR2 PPARG 237
BMPR2 KIT 508
BMPR2 SMAD6 948
BMPR2 IFNGR2 159
BMPR2 CTBP1 167
BMPR2 MELK 189
BMPR2 PRKCB 434
BMPR2 PPM1D 177
BMPR2 RHOD 217
BMPR2 PPM1A 177
BMPR2 SMAD3 275
BMPR2 UGP2 153
BMPR2 TUBB 152
BMPR2 PPM1G 183
BMPR2 PARD6G 189
BMPR2 CTNNB1 156
BMPR2 FYN 275
BMPR2 NTRK3 231
BMPR2 SMURF1 932
BMPR2 TGFB2 150
BMPR2 UAP1 153
BMPR2 NCOA3 209
BMPR2 IRS4 520
BMPR2 ENG 938
BMPR2 SRC 463
BMPR2 PDK3 153
BMPR2 IRS2 317
BMPR2 SMAD5 726
BMPR2 FHL2 298
BMPR2 GRB2 155
BMPR2 PDK2 153
BMPR2 ITSN1 156
BMPR2 HRAS 224
BMPR2 CSNK2B 902
BMPR2 PDP1 224
BMPR2 GREM1 900
BMPR2 SMAD1 924
BMPR2 MAPK8 156
BMPR2 EDN1 197
BMPR2 TGFBR1 859
BMPR2 PDK1 153
BNIP3 GABARAPL2 585
BNIP3 NAPA 294
BNIP3 CDH6 457
BNIP3 VDAC1 457
BNIP3 OPA1 341
BNIP3 CD47 780
BNIP3 DNM1L 296
BNIP3 HDAC1 589
BNIP3 SQSTM1 297
BNIP3 CASP8AP2 185
BNIP3 RHOBTB3 159
BPHL ISOC1 379
BPHL LGALS1 171
BPHL DECR1 165
BPHL CKM 212
BPHL TPI1 252
BPHL CAT 309
BPHL GOT2 243
BPHL LGALS3 171
BPHL KDM6B 198
BPHL CNN2 167
BPHL HSD17B14 165
BPHL QDPR 252
BPHL DHRS1 165
BPHL CKB 212
BPHL CRABP1 185
BPHL MSRA 384
BPHL DHRS2 165
BPHL FH 252
BPHL CNN3 167
BPHL PGM1 243
BPHL CMPK1 175
BPHL ECI2 167
BPHL SOD3 213
BPHL HSDL2 165
BPHL GRB2 267
BPHL DBI 252
BPHL NDUFAB1 248
BPHL CRABP2 185
BPHL FKBP1B 305
BPHL PPIA 215
BPHL FABP6 185
BPHL SOD2 342
BPHL NDRG2 261
BPHL CKMT2 165
BPNT1 EED 181
BPNT1 IMPA2 220
BPNT1 CCP110 192
BPNT1 PC 183
BPNT1 MYO9B 183
BRAF RALA 208
BRAF MAP2K5 220
BRAF VCL 600
BRAF MAPK1 795
BRAF PPP2CB 218
BRAF TGFB1 187
BRAF RRAS 151
BRAF RAC2 194
BRAF RAF1 996
BRAF CCT7 188
BRAF PEBP1 713
BRAF VWF 606
BRAF SMURF2 298
BRAF CSNK2A2 151
BRAF EED 181
BRAF YWHAE 963
BRAF WNT2 172
BRAF RALB 227
BRAF IQGAP2 190
BRAF FBXW7 278
BRAF PPM1B 177
BRAF NGF 605
BRAF MAP2K6 203
BRAF UGP2 153
BRAF PPM1G 177
BRAF RAC1 169
BRAF LMNA 600
BRAF SRC 370
BRAF UBE2L3 285
BRAF JUP 160
BRAF MTOR 215
BRAF MRAS 352
BRAF TGFBR2 210
BRAF TGFB2 211
BRAF FKBP5 316
BRAF PRKCH 152
BRAF PRKCE 605
BRAF PDP1 177
BRAF ITGB3 612
BRAF PDK1 153
BRAF PARD6G 189
BRAF UAP1 153
BRAF RPS6KA2 316
BRAF CTNNB1 170
BRAF TYK2 387
BRAF HSPA9 271
BRAF PTEN 509
BRAF YWHAG 953
BRAF GNAI2 248
BRAF HSP90B1 287
BRAF RAD50 185
BRAF MARK3 514
BRAF RHOA 218
BRAF MYOF 185
BRAF FN1 600
BRAF PDK3 153
BRAF WWP1 298
BRAF PPM1A 177
BRAF RPTOR 173
BRAF HSPA1A 530
BRAF YWHAB 959
BRAF RIT1 653
BRAF HNRNPC 186
BRAF PRKCA 329
BRAF NEDD4L 298
BRAF DNAJA1 191
BRAF COPA 185
BRAF HRAS 964
BRAF MAP2K3 177
BRAF MAP3K1 499
BRAF HSP90AA1 659
BRAF HSPA4 636
BRAF RAP1GAP 461
BRAF RAB1A 202
BRAF PTPN11 320
BRAF TIMM50 223
BRAF KDM7A 616
BRAF PTK2 166
BRAF PPM1D 177
BRAF PDK2 153
BRCA1 ERCC1 405
BRCA1 CBX5 270
BRCA1 SIRT1 427
BRCA1 MAPK1 270
BRCA1 DMC1 840
BRCA1 HMOX1 274
BRCA1 USP11 282
BRCA1 RNASEH2A 270
BRCA1 HAS1 175
BRCA1 RPA3 774
BRCA1 RAD51AP1 600
BRCA1 FBXO5 270
BRCA1 NR3C1 439
BRCA1 MLH1 924
BRCA1 MSH2 899
BRCA1 ORC2 382
BRCA1 TARDBP 270
BRCA1 NMI 591
BRCA1 TUBGCP6 900
BRCA1 PIAS1 619
BRCA1 TUBG1 752
BRCA1 FUS 405
BRCA1 LGALS3 270
BRCA1 SMARCC1 270
BRCA1 RPA1 808
BRCA1 CDK7 270
BRCA1 CDK4 892
BRCA1 HUS1 745
BRCA1 KIF23 459
BRCA1 TOPBP1 993
BRCA1 MNAT1 483
BRCA1 TUBGCP3 540
BRCA1 TWSG1 219
BRCA1 CREBBP 807
BRCA1 MARK4 720
BRCA1 EED 270
BRCA1 KAT2B 459
BRCA1 CTCF 256
BRCA1 UBE2S 925
BRCA1 FOSL2 649
BRCA1 TP63 520
BRCA1 CEP72 430
BRCA1 NBN 987
BRCA1 PMS2 644
BRCA1 CDK2 610
BRCA1 RB1 692
BRCA1 PML 405
BRCA1 TP53 994
BRCA1 CCNA2 483
BRCA1 SKP2 483
BRCA1 EGFR 463
BRCA1 BUB1B 720
BRCA1 PPARG 282
BRCA1 FANCC 459
BRCA1 CTBP1 968
BRCA1 VCAM1 459
BRCA1 RICTOR 366
BRCA1 NPM1 341
BRCA1 WRN 970
BRCA1 PLK1 744
BRCA1 TPX2 660
BRCA1 CHAF1A 181
BRCA1 UBE2E1 690
BRCA1 IRS1 183
BRCA1 ETV5 323
BRCA1 PABPC1 721
BRCA1 HNRNPD 440
BRCA1 PRKDC 663
BRCA1 CSTF3 200
BRCA1 EZH2 831
BRCA1 SH2B1 270
BRCA1 ETV4 181
BRCA1 POLE 459
BRCA1 SMC1A 758
BRCA1 PGR 492
BRCA1 TACC3 297
BRCA1 PEG3 297
BRCA1 KNTC1 459
BRCA1 SP1 653
BRCA1 CASP9 283
BRCA1 PDE4B 360
BRCA1 SMAD3 576
BRCA1 HSP90AA1 522
BRCA1 CBX3 770
BRCA1 RAD51C 674
BRCA1 SIRT6 225
BRCA1 TUBB 270
BRCA1 HUWE1 270
BRCA1 STAT5A 846
BRCA1 JAK1 554
BRCA1 ESR2 282
BRCA1 CTNNB1 270
BRCA1 NFYA 655
BRCA1 ERCC5 456
BRCA1 UBE2I 765
BRCA1 ELK4 282
BRCA1 RAD23B 295
BRCA1 NF1 914
BRCA1 TRIM33 405
BRCA1 RAD52 895
BRCA1 XRCC6 345
BRCA1 DNMT1 325
BRCA1 MSN 270
BRCA1 RRM2 250
BRCA1 STAT1 738
BRCA1 TOP1 429
BRCA1 NFE2L1 151
BRCA1 EXO1 797
BRCA1 CENPF 459
BRCA1 EZR 457
BRCA1 UBE2T 621
BRCA1 UCHL5 398
BRCA1 POU2F1 947
BRCA1 LMNA 448
BRCA1 CTSS 270
BRCA1 PHGDH 192
BRCA1 FLNA 796
BRCA1 KIF20B 459
BRCA1 NCOA3 421
BRCA1 KIF2C 459
BRCA1 POLH 270
BRCA1 HDAC1 596
BRCA1 RBL1 270
BRCA1 RPA2 745
BRCA1 UBE2D1 905
BRCA1 KIF4A 459
BRCA1 CSNK2B 270
BRCA1 RAD50 965
BRCA1 PCNA 909
BRCA1 NUFIP1 767
BRCA1 E2F4 404
BRCA1 RFC3 600
BRCA1 RBBP7 847
BRCA1 BRCA2 992
BRCA1 CNTROB 210
BRCA1 CDK8 270
BRCA1 JAK2 270
BRCA1 CENPJ 900
BRCA1 RFC1 420
BRCA1 RAD1 745
BRCA1 CHEK2 915
BRCA1 RAD51 996
BRCA1 STAG1 774
BRCA1 ERCC2 260
BRCA1 XRCC5 921
BRCA1 RFC4 728
BRCA1 CIT 270
BRCA1 GRB2 208
BRCA1 ECT2 300
BRCA1 CBX1 355
BRCA1 CDKN2D 270
BRCA1 GTF2F1 270
BRCA1 NFE2L2 271
BRCA1 KHSRP 405
BRCA1 RBBP8 999
BRCA1 RELA 816
BRCA1 XPO1 270
BRCA1 IFI30 307
BRCA1 KIF2A 459
BRCA1 FOXO3 270
BRCA1 PSMD14 386
BRCA1 FHL2 811
BRCA1 CHEK1 852
BRCA1 EWSR1 461
BRCA1 UBE2L3 690
BRCA1 ODF2 273
BRCA1 POLR2F 642
BRCA1 SMC6 468
BRCA1 RACGAP1 426
BRCA1 ESR1 994
BRCA1 POLD1 512
BRCA1 RFC5 600
BRCA1 TOP2A 398
BRCA1 POLR2H 480
BRCA1 EIF4G1 270
BRCA1 CDKN2A 270
BRCA1 IKBKB 355
BRCA1 VDR 450
BRCA1 SMTN 459
BRCA1 PCGF5 540
BRCA1 POLR2A 506
BRCA1 HDAC2 916
BRCA1 TUBGCP5 900
BRCA1 SUPT5H 435
BRCA1 XRCC3 698
BRCA1 STAG3 600
BRCA1 CASP1 270
BRCA1 CDC27 900
BRCA1 HNRNPC 521
BRCA1 TIMELESS 600
BRCA2 PYGM 270
BRCA2 DMC1 961
BRCA2 USP11 839
BRCA2 RNASEH2A 270
BRCA2 RPA3 600
BRCA2 RAD51AP1 691
BRCA2 MSH2 243
BRCA2 CAT 270
BRCA2 RPA1 776
BRCA2 CCNA1 316
BRCA2 CDK4 803
BRCA2 SMAD2 345
BRCA2 KAT2B 940
BRCA2 CTCF 276
BRCA2 NBN 674
BRCA2 CDK2 493
BRCA2 TP53 869
BRCA2 CCNA2 497
